month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-01-01,A DIVISION,1,offpeak,6439252.5,0.7355753,0.5141745,4736555,3310899.5,701068.8,0.108874254,0.89112574
2025-01-01,A DIVISION,1,peak,6688313,0.6999114,0.5234027,4681227,3500681.2,517056.4,0.07730745,0.92269254
2025-01-01,A DIVISION,2,offpeak,3823342.5,1.260825,0.5685579,4820566,2173791.5,607019.75,0.15876678,0.84123325
2025-01-01,A DIVISION,2,peak,4378539.5,1.1232483,0.58728504,4918187,2571450.5,625113.9,0.14276768,0.85723233
2025-01-01,A DIVISION,3,offpeak,3005494.2,0.8553704,0.4239,2570810.8,1274029.1,339789.25,0.11305603,0.886944
2025-01-01,A DIVISION,3,peak,3382491.5,0.89919573,0.5622657,3041521.8,1901858.9,372599.78,0.110155426,0.8898446
2025-01-01,A DIVISION,4,offpeak,4718470,0.82986087,0.42050266,3915673.8,1984129.1,586498.75,0.1242985,0.8757015
2025-01-01,A DIVISION,4,peak,4834933,0.85321134,0.63677436,4125219.8,3078761.5,620896.44,0.12841882,0.8715812
2025-01-01,A DIVISION,5,offpeak,3200157,1.2005824,0.6552827,3842052,2097007.5,452424.4,0.14137569,0.85862434
2025-01-01,A DIVISION,5,peak,4093416.8,1.0209124,0.6259068,4179019.8,2562097.5,559684.8,0.13672803,0.86327195
2025-01-01,A DIVISION,6,offpeak,6729971.5,0.8731555,0.38710183,5876312,2605184.5,638619.25,0.09489182,0.90510815
2025-01-01,A DIVISION,6,peak,7114030,1.157177,0.6107018,8232192.5,4344551,863267.5,0.12134718,0.8786528
2025-01-01,A DIVISION,7,offpeak,5454356,0.83215034,0.37154943,4538844,2026562.8,554305.94,0.10162628,0.8983737
2025-01-01,A DIVISION,7,peak,5878673.5,0.8874427,0.34600908,5216986,2034074.4,471599.06,0.08022202,0.919778
