month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2020-01-01,A DIVISION,1,1,9035,10554,0.8560735
2020-01-01,A DIVISION,1,2,2866,3050,0.9396721
2020-01-01,A DIVISION,2,1,6058,7330,0.82646656
2020-01-01,A DIVISION,2,2,1674,2340,0.7153846
2020-01-01,A DIVISION,3,1,5732,6603,0.8680903
2020-01-01,A DIVISION,3,2,1527,1875,0.8144
2020-01-01,A DIVISION,4,1,6552,8124,0.80649924
2020-01-01,A DIVISION,4,2,1890,2390,0.79079497
2020-01-01,A DIVISION,5,1,6149,7230,0.8504841
2020-01-01,A DIVISION,5,2,1594,1766,0.90260476
2020-01-01,A DIVISION,6,1,10238,12243,0.83623296
2020-01-01,A DIVISION,6,2,2170,2528,0.8583861
2020-01-01,A DIVISION,7,1,13310,14539,0.91546875
2020-01-01,A DIVISION,7,2,3013,3212,0.93804485
2020-01-01,A DIVISION,GS,1,11823,11968,0.98788434
2020-01-01,A DIVISION,GS,2,2746,2755,0.9967332
2020-01-01,B DIVISION,A,1,6010,8254,0.72813183
2020-01-01,B DIVISION,A,2,2221,2724,0.8153451
2020-01-01,B DIVISION,B,1,3083,4312,0.71498144
2020-01-01,B DIVISION,C,1,3424,4400,0.7781818
2020-01-01,B DIVISION,C,2,1042,1398,0.7453505
2020-01-01,B DIVISION,D,1,4268,6028,0.7080292
2020-01-01,B DIVISION,D,2,1683,2074,0.8114754
2020-01-01,B DIVISION,E,1,7165,8898,0.8052371
2020-01-01,B DIVISION,E,2,1690,1884,0.8970276
2020-01-01,B DIVISION,F,1,6656,9179,0.7251335
2020-01-01,B DIVISION,F,2,1448,1874,0.77267873
2020-01-01,B DIVISION,FS,1,5183,5192,0.9982666
2020-01-01,B DIVISION,FS,2,1889,1894,0.9973601
2020-01-01,B DIVISION,G,1,4980,6380,0.78056425
2020-01-01,B DIVISION,G,2,1854,2318,0.79982746
2020-01-01,B DIVISION,H,1,3596,3696,0.9729437
2020-01-01,B DIVISION,H,2,1360,1395,0.9749104
2020-01-01,B DIVISION,J,1,5098,6133,0.83124083
2020-01-01,B DIVISION,J,2,1674,2004,0.83532935
2020-01-01,B DIVISION,L,1,10077,10783,0.93452656
2020-01-01,B DIVISION,L,2,2726,2816,0.96803975
2020-01-01,B DIVISION,M,1,4949,6160,0.8034091
2020-01-01,B DIVISION,M,2,2168,2424,0.89438945
2020-01-01,B DIVISION,N,1,6673,9843,0.6779437
2020-01-01,B DIVISION,N,2,1394,2027,0.6877158
2020-01-01,B DIVISION,Q,1,5854,6910,0.847178
2020-01-01,B DIVISION,Q,2,1765,2222,0.7943294
2020-01-01,B DIVISION,R,1,4727,6204,0.7619278
2020-01-01,B DIVISION,R,2,1662,1940,0.856701
2020-02-01,A DIVISION,1,1,8119,9309,0.8721667
2020-02-01,A DIVISION,1,2,4421,4668,0.9470866
2020-02-01,A DIVISION,2,1,5010,6156,0.81384015
2020-02-01,A DIVISION,2,2,1847,2648,0.69750756
2020-02-01,A DIVISION,3,1,5001,5746,0.8703446
2020-02-01,A DIVISION,3,2,1710,2097,0.81545067
2020-02-01,A DIVISION,4,1,5522,7026,0.78593796
2020-02-01,A DIVISION,4,2,2136,2700,0.7911111
2020-02-01,A DIVISION,5,1,5071,6199,0.8180352
2020-02-01,A DIVISION,5,2,1678,1901,0.8826933
2020-02-01,A DIVISION,6,1,8428,10585,0.7962211
2020-02-01,A DIVISION,6,2,2555,2860,0.8933566
2020-02-01,A DIVISION,7,1,11532,12376,0.93180346
2020-02-01,A DIVISION,7,2,3556,3740,0.95080215
2020-02-01,A DIVISION,GS,1,9584,9664,0.99172187
2020-02-01,A DIVISION,GS,2,2768,2782,0.99496764
2020-02-01,B DIVISION,A,1,5300,7135,0.7428171
2020-02-01,B DIVISION,A,2,2488,3021,0.82356834
2020-02-01,B DIVISION,B,1,2629,3724,0.70596135
2020-02-01,B DIVISION,C,1,3010,3800,0.79210526
2020-02-01,B DIVISION,C,2,1308,1572,0.83206105
2020-02-01,B DIVISION,D,1,3686,5206,0.7080292
2020-02-01,B DIVISION,D,2,1976,2260,0.8743363
2020-02-01,B DIVISION,E,1,6237,7788,0.8008475
2020-02-01,B DIVISION,E,2,1911,2110,0.9056872
2020-02-01,B DIVISION,F,1,5402,7443,0.72578263
2020-02-01,B DIVISION,F,2,1725,2104,0.8198669
2020-02-01,B DIVISION,FS,1,4470,4484,0.9968778
2020-02-01,B DIVISION,FS,2,2121,2148,0.98743016
2020-02-01,B DIVISION,G,1,4258,5509,0.77291703
2020-02-01,B DIVISION,G,2,2190,2642,0.8289175
2020-02-01,B DIVISION,H,1,3146,3195,0.98466355
2020-02-01,B DIVISION,H,2,1302,1326,0.98190045
2020-02-01,B DIVISION,J,1,4452,5296,0.84063447
2020-02-01,B DIVISION,J,2,1956,2264,0.8639576
2020-02-01,B DIVISION,L,1,8599,9395,0.9152741
2020-02-01,B DIVISION,L,2,2901,3034,0.95616347
2020-02-01,B DIVISION,M,1,4440,5301,0.8375778
2020-02-01,B DIVISION,M,2,2533,2790,0.9078853
2020-02-01,B DIVISION,N,1,5520,8683,0.63572496
2020-02-01,B DIVISION,N,2,1366,2202,0.6203451
2020-02-01,B DIVISION,Q,1,5046,6289,0.8023533
2020-02-01,B DIVISION,Q,2,2192,2452,0.8939641
2020-02-01,B DIVISION,R,1,4209,5343,0.78775966
2020-02-01,B DIVISION,R,2,1913,2160,0.88564813
2020-03-01,A DIVISION,1,1,6403,6952,0.9210299
2020-03-01,A DIVISION,1,2,2111,2227,0.947912
2020-03-01,A DIVISION,2,1,4121,4864,0.84724504
2020-03-01,A DIVISION,2,2,1123,1508,0.74469495
2020-03-01,A DIVISION,3,1,4143,4500,0.9206667
2020-03-01,A DIVISION,3,2,1233,1452,0.84917355
2020-03-01,A DIVISION,4,1,4709,5470,0.8608775
2020-03-01,A DIVISION,4,2,1431,1842,0.776873
2020-03-01,A DIVISION,5,1,4132,4761,0.8678849
2020-03-01,A DIVISION,5,2,1812,1922,0.942768
2020-03-01,A DIVISION,6,1,7286,8380,0.86945105
2020-03-01,A DIVISION,6,2,1701,1948,0.8732033
2020-03-01,A DIVISION,7,1,9094,9775,0.9303325
2020-03-01,A DIVISION,7,2,2218,2514,0.88225937
2020-03-01,A DIVISION,GS,1,7690,7740,0.99354005
2020-03-01,A DIVISION,GS,2,2344,2360,0.9932203
2020-03-01,B DIVISION,A,1,4288,5662,0.7573296
2020-03-01,B DIVISION,A,2,1767,2428,0.7277595
2020-03-01,B DIVISION,B,1,2361,2940,0.80306125
2020-03-01,B DIVISION,C,1,2431,3000,0.8103333
2020-03-01,B DIVISION,C,2,548,774,0.7080103
2020-03-01,B DIVISION,D,1,3171,4110,0.77153283
2020-03-01,B DIVISION,D,2,1313,1537,0.8542616
2020-03-01,B DIVISION,E,1,5239,6154,0.8513162
2020-03-01,B DIVISION,E,2,1352,1466,0.9222374
2020-03-01,B DIVISION,F,1,4656,5875,0.7925106
2020-03-01,B DIVISION,F,2,1205,1451,0.83046174
2020-03-01,B DIVISION,FS,1,3518,3540,0.9937853
2020-03-01,B DIVISION,FS,2,1462,1470,0.9945578
2020-03-01,B DIVISION,G,1,3476,4350,0.79908043
2020-03-01,B DIVISION,G,2,1571,1785,0.88011205
2020-03-01,B DIVISION,H,1,2461,2520,0.9765873
2020-03-01,B DIVISION,H,2,1059,1075,0.9851163
2020-03-01,B DIVISION,J,1,3639,4184,0.86974186
2020-03-01,B DIVISION,J,2,1320,1550,0.8516129
2020-03-01,B DIVISION,L,1,6895,7554,0.91276145
2020-03-01,B DIVISION,L,2,1817,1828,0.9939825
2020-03-01,B DIVISION,M,1,3866,4387,0.88124
2020-03-01,B DIVISION,M,2,1617,1913,0.8452692
2020-03-01,B DIVISION,N,1,4867,6900,0.7053623
2020-03-01,B DIVISION,N,2,1128,1560,0.72307694
2020-03-01,B DIVISION,Q,1,3942,4728,0.8337563
2020-03-01,B DIVISION,Q,2,2030,2312,0.8780277
2020-03-01,B DIVISION,R,1,3523,4230,0.8328605
2020-03-01,B DIVISION,R,2,1416,1504,0.94148934
2020-04-01,A DIVISION,1,1,3851,4030,0.95558316
2020-04-01,A DIVISION,1,2,1024,1168,0.8767123
2020-04-01,A DIVISION,2,1,3236,3729,0.86779296
2020-04-01,A DIVISION,2,2,541,1048,0.51622134
2020-04-01,A DIVISION,3,1,2534,2756,0.9194485
2020-04-01,A DIVISION,3,2,452,652,0.69325155
2020-04-01,A DIVISION,4,1,3643,3930,0.92697203
2020-04-01,A DIVISION,4,2,849,1068,0.7949438
2020-04-01,A DIVISION,5,1,2507,2769,0.905381
2020-04-01,A DIVISION,5,2,700,836,0.83732057
2020-04-01,A DIVISION,6,1,3603,3926,0.91772795
2020-04-01,A DIVISION,6,2,804,1128,0.71276593
2020-04-01,A DIVISION,7,1,3486,4196,0.83079123
2020-04-01,A DIVISION,7,2,1050,1628,0.64496315
2020-04-01,B DIVISION,A,1,2295,2602,0.88201386
2020-04-01,B DIVISION,D,1,2842,3146,0.90336937
2020-04-01,B DIVISION,D,2,720,924,0.77922076
2020-04-01,B DIVISION,E,1,2504,2808,0.8917379
2020-04-01,B DIVISION,E,2,667,840,0.7940476
2020-04-01,B DIVISION,F,1,2486,2808,0.88532764
2020-04-01,B DIVISION,F,2,632,836,0.75598085
2020-04-01,B DIVISION,FS,1,3053,3068,0.9951108
2020-04-01,B DIVISION,FS,2,846,848,0.9976415
2020-04-01,B DIVISION,G,1,2455,3440,0.7136628
2020-04-01,B DIVISION,G,2,816,1023,0.797654
2020-04-01,B DIVISION,H,1,1800,1820,0.989011
2020-04-01,B DIVISION,H,2,623,626,0.99520767
2020-04-01,B DIVISION,J,1,2375,3068,0.77412
2020-04-01,B DIVISION,J,2,673,896,0.7511161
2020-04-01,B DIVISION,L,1,3131,3263,0.95954645
2020-04-01,B DIVISION,L,2,569,576,0.9878472
2020-04-01,B DIVISION,M,1,2359,2916,0.80898494
2020-04-01,B DIVISION,M,2,641,1110,0.57747746
2020-04-01,B DIVISION,N,1,2245,3198,0.7020013
2020-04-01,B DIVISION,N,2,485,944,0.5137712
2020-04-01,B DIVISION,Q,1,2834,3276,0.86507934
2020-04-01,B DIVISION,Q,2,808,1088,0.74264705
2020-04-01,B DIVISION,R,1,2374,2808,0.8454416
2020-04-01,B DIVISION,R,2,715,864,0.8275463
2020-05-01,A DIVISION,1,1,6027,6200,0.9720968
2020-05-01,A DIVISION,1,2,3068,3194,0.960551
2020-05-01,A DIVISION,2,1,5997,6480,0.92546296
2020-05-01,A DIVISION,2,2,2316,2866,0.8080949
2020-05-01,A DIVISION,3,1,5369,5732,0.9366713
2020-05-01,A DIVISION,3,2,1626,1814,0.89636165
2020-05-01,A DIVISION,4,1,6980,7400,0.94324327
2020-05-01,A DIVISION,4,2,2584,2922,0.8843258
2020-05-01,A DIVISION,5,1,3833,4266,0.8984998
2020-05-01,A DIVISION,5,2,2186,2305,0.9483731
2020-05-01,A DIVISION,6,1,5893,6300,0.93539685
2020-05-01,A DIVISION,6,2,2912,3082,0.944841
2020-05-01,A DIVISION,7,1,6578,6669,0.98635477
2020-05-01,A DIVISION,7,2,4022,4236,0.94948065
2020-05-01,B DIVISION,A,1,5317,5718,0.9298706
2020-05-01,B DIVISION,A,2,2856,3086,0.9254699
2020-05-01,B DIVISION,C,1,3075,3244,0.9479038
2020-05-01,B DIVISION,C,2,1569,1710,0.9175439
2020-05-01,B DIVISION,D,1,4683,4984,0.9396067
2020-05-01,B DIVISION,D,2,2370,2532,0.93601894
2020-05-01,B DIVISION,E,1,4185,4320,0.96875
2020-05-01,B DIVISION,E,2,2222,2304,0.9644097
2020-05-01,B DIVISION,F,1,4022,4319,0.93123406
2020-05-01,B DIVISION,F,2,2123,2292,0.9262653
2020-05-01,B DIVISION,FS,1,4694,4720,0.9944915
2020-05-01,B DIVISION,FS,2,2301,2318,0.99266607
2020-05-01,B DIVISION,G,1,4123,4280,0.96331775
2020-05-01,B DIVISION,G,2,2366,2537,0.9325976
2020-05-01,B DIVISION,H,1,2752,2798,0.98355967
2020-05-01,B DIVISION,H,2,1614,1643,0.98234934
2020-05-01,B DIVISION,J,1,4539,4720,0.9616525
2020-05-01,B DIVISION,J,2,2371,2452,0.96696573
2020-05-01,B DIVISION,L,1,5247,5308,0.9885079
2020-05-01,B DIVISION,L,2,4943,5166,0.9568331
2020-05-01,B DIVISION,M,1,4305,4400,0.9784091
2020-05-01,B DIVISION,M,2,2482,2516,0.9864865
2020-05-01,B DIVISION,N,1,4526,5064,0.89375985
2020-05-01,B DIVISION,N,2,2001,2586,0.7737819
2020-05-01,B DIVISION,Q,1,6047,6300,0.95984125
2020-05-01,B DIVISION,Q,2,2765,2984,0.92660856
2020-05-01,B DIVISION,R,1,4109,4324,0.9502775
2020-05-01,B DIVISION,R,2,2234,2376,0.9402357
2020-06-01,A DIVISION,1,1,9645,9982,0.9662392
2020-06-01,A DIVISION,1,2,2233,2336,0.9559075
2020-06-01,A DIVISION,2,1,6428,7120,0.90280896
2020-06-01,A DIVISION,2,2,1696,2092,0.81070745
2020-06-01,A DIVISION,3,1,6087,6512,0.9347359
2020-06-01,A DIVISION,3,2,1162,1304,0.8911043
2020-06-01,A DIVISION,4,1,7410,8140,0.9103194
2020-06-01,A DIVISION,4,2,1728,2136,0.80898875
2020-06-01,A DIVISION,5,1,5936,6626,0.8958648
2020-06-01,A DIVISION,5,2,1501,1556,0.96465296
2020-06-01,A DIVISION,6,1,10968,11715,0.9362356
2020-06-01,A DIVISION,6,2,2130,2256,0.94414896
2020-06-01,A DIVISION,7,1,12821,13568,0.94494396
2020-06-01,A DIVISION,7,2,2863,3054,0.93745905
2020-06-01,B DIVISION,A,1,6740,7538,0.89413637
2020-06-01,B DIVISION,A,2,2131,2249,0.94753224
2020-06-01,B DIVISION,B,1,2847,3332,0.85444176
2020-06-01,B DIVISION,C,1,3251,3553,0.9150014
2020-06-01,B DIVISION,C,2,1176,1248,0.9423077
2020-06-01,B DIVISION,D,1,5480,6108,0.897184
2020-06-01,B DIVISION,D,2,1728,1848,0.9350649
2020-06-01,B DIVISION,E,1,7899,8402,0.9401333
2020-06-01,B DIVISION,E,2,1517,1680,0.9029762
2020-06-01,B DIVISION,F,1,5960,6644,0.89704996
2020-06-01,B DIVISION,F,2,1444,1672,0.8636364
2020-06-01,B DIVISION,FS,1,5162,5192,0.99422187
2020-06-01,B DIVISION,FS,2,1695,1696,0.9994104
2020-06-01,B DIVISION,G,1,5635,5970,0.9438861
2020-06-01,B DIVISION,G,2,1708,1852,0.9222462
2020-06-01,B DIVISION,H,1,3409,3471,0.98213774
2020-06-01,B DIVISION,H,2,1178,1185,0.9940928
2020-06-01,B DIVISION,J,1,5683,5921,0.95980406
2020-06-01,B DIVISION,J,2,1437,1604,0.8958853
2020-06-01,B DIVISION,L,1,6908,7114,0.971043
